run_id,run_started_at,run_url,git_sha,sf,test,runner,cpu,mem_gb,python,engine,engine_version,engine_status,run_type,phase,query,dur,rows,status,error
35550043819-1,2026-09-21T01:16:34Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35550043819,4e57d9c,100,etl,linux-6.17.0-1022-azure,4,15.6,3.12.14,chdb_iceberg,4.4.0,ok,cold,setup,0,0.7883,,ok,
35550043819-1,2026-09-21T01:16:34Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35550043819,4e57d9c,100,etl,linux-6.17.0-1022-azure,4,15.6,3.12.14,chdb_iceberg,4.4.0,ok,cold,load,1,111.3767,16328304,ok,
35550043819-1,2026-09-21T01:16:34Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35550043819,4e57d9c,100,etl,linux-6.17.0-1022-azure,4,15.6,3.12.14,daft_iceberg,0.7.25,ok,cold,setup,0,1.4389,,ok,
35550043819-1,2026-09-21T01:16:34Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35550043819,4e57d9c,100,etl,linux-6.17.0-1022-azure,4,15.6,3.12.14,daft_iceberg,0.7.25,ok,cold,load,1,93.6586,16328304,ok,
35550043819-1,2026-09-21T01:16:34Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35550043819,4e57d9c,100,etl,linux-6.17.0-1022-azure,4,15.6,3.12.14,duckdb_iceberg,2.0.0.dev2609121639,ok,cold,setup,0,3.7422,,ok,
35550043819-1,2026-09-21T01:16:34Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35550043819,4e57d9c,100,etl,linux-6.17.0-1022-azure,4,15.6,3.12.14,duckdb_iceberg,2.0.0.dev2609121639,ok,cold,load,1,59.3284,16328304,ok,
35550043819-1,2026-09-21T01:16:34Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35550043819,4e57d9c,100,etl,linux-6.17.0-1022-azure,4,15.6,3.12.14,lakesail_iceberg,0.7.1,ok,cold,setup,0,0.7374,,ok,
35550043819-1,2026-09-21T01:16:34Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35550043819,4e57d9c,100,etl,linux-6.17.0-1022-azure,4,15.6,3.12.14,lakesail_iceberg,0.7.1,ok,cold,load,1,81.8007,16328304,ok,
35550043819-1,2026-09-21T01:16:34Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35550043819,4e57d9c,100,etl,linux-6.17.0-1022-azure,4,15.6,3.12.14,polars_iceberg,2.0.0-rc.2,ok,cold,setup,0,1.5107,,ok,
35550043819-1,2026-09-21T01:16:34Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35550043819,4e57d9c,100,etl,linux-6.17.0-1022-azure,4,15.6,3.12.14,polars_iceberg,2.0.0-rc.2,ok,cold,load,1,51.576,16328304,ok,
35550043819-1,2026-09-21T01:16:34Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35550043819,4e57d9c,100,etl,linux-6.17.0-1022-azure,4,15.6,3.12.14,pyspark_iceberg,4.1.3,ok,cold,setup,0,16.5431,,ok,
35550043819-1,2026-09-21T01:16:34Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35550043819,4e57d9c,100,etl,linux-6.17.0-1022-azure,4,15.6,3.12.14,pyspark_iceberg,4.1.3,ok,cold,load,1,148.6705,16328304,ok,
35551660935-1,2026-09-21T01:40:46Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35551660935,3b6a649,1000,etl,linux-6.17.0-1022-azure,4,15.6,3.12.14,chdb_iceberg,4.4.0,ok,cold,setup,0,1.6057,,ok,
35551660935-1,2026-09-21T01:40:46Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35551660935,3b6a649,1000,etl,linux-6.17.0-1022-azure,4,15.6,3.12.14,chdb_iceberg,4.4.0,ok,cold,load,1,939.4384,149146763,ok,
