run_id,run_started_at,run_url,git_sha,sf,test,runner,cpu,mem_gb,python,engine,engine_version,engine_status,run_type,phase,query,dur,rows,status,error
35515861490-1,2026-09-20T14:14:31Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35515861490,8f95d7b,10,tpch,linux-6.17.0-1022-azure,4,15.6,3.12.14,chdb_iceberg,4.4.0,ok,cold,setup,0,1.6069,,ok,
35515861490-1,2026-09-20T14:14:31Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35515861490,8f95d7b,10,tpch,linux-6.17.0-1022-azure,4,15.6,3.12.14,chdb_iceberg,4.4.0,ok,cold,query,1,9.4104,4,ok,
35515861490-1,2026-09-20T14:14:31Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35515861490,8f95d7b,10,tpch,linux-6.17.0-1022-azure,4,15.6,3.12.14,chdb_iceberg,4.4.0,ok,cold,query,2,7.4003,10,ok,
35515861490-1,2026-09-20T14:14:31Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35515861490,8f95d7b,10,tpch,linux-6.17.0-1022-azure,4,15.6,3.12.14,chdb_iceberg,4.4.0,ok,cold,query,3,29.2045,10,ok,
35515861490-1,2026-09-20T14:14:31Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35515861490,8f95d7b,10,tpch,linux-6.17.0-1022-azure,4,15.6,3.12.14,chdb_iceberg,4.4.0,ok,cold,query,4,3.4242,5,ok,
35515861490-1,2026-09-20T14:14:31Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35515861490,8f95d7b,10,tpch,linux-6.17.0-1022-azure,4,15.6,3.12.14,chdb_iceberg,4.4.0,ok,cold,query,5,5.8798,5,ok,
35515861490-1,2026-09-20T14:14:31Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35515861490,8f95d7b,10,tpch,linux-6.17.0-1022-azure,4,15.6,3.12.14,chdb_iceberg,4.4.0,ok,cold,query,6,1.1257,1,ok,
35515861490-1,2026-09-20T14:14:31Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35515861490,8f95d7b,10,tpch,linux-6.17.0-1022-azure,4,15.6,3.12.14,chdb_iceberg,4.4.0,ok,cold,query,7,25.9073,9,ok,
35515861490-1,2026-09-20T14:14:31Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35515861490,8f95d7b,10,tpch,linux-6.17.0-1022-azure,4,15.6,3.12.14,chdb_iceberg,4.4.0,ok,cold,query,8,7.793,2,ok,
35515861490-1,2026-09-20T14:14:31Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35515861490,8f95d7b,10,tpch,linux-6.17.0-1022-azure,4,15.6,3.12.14,chdb_iceberg,4.4.0,ok,cold,query,9,6.6265,175,ok,
35515861490-1,2026-09-20T14:14:31Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35515861490,8f95d7b,10,tpch,linux-6.17.0-1022-azure,4,15.6,3.12.14,chdb_iceberg,4.4.0,ok,cold,query,10,4.5343,20,ok,
35515861490-1,2026-09-20T14:14:31Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35515861490,8f95d7b,10,tpch,linux-6.17.0-1022-azure,4,15.6,3.12.14,chdb_iceberg,4.4.0,ok,cold,query,11,2.2968,8685,ok,
35515861490-1,2026-09-20T14:14:31Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35515861490,8f95d7b,10,tpch,linux-6.17.0-1022-azure,4,15.6,3.12.14,chdb_iceberg,4.4.0,ok,cold,query,12,2.448,2,ok,
35515861490-1,2026-09-20T14:14:31Z,https://github.com/djouallah/onelake-iceberg/actions/runs/35515861490,8f95d7b,10,tpch,linux-6.17.0-1022-azure,4,15.6,3.12.14,chdb_iceberg,4.4.0,ok,cold,query,13,4.2826,46,ok,
